"","ID","publication_year","journal","first_author","doi","informal_citation","impact_factor_2016","study_focus","geographic_extent_of_study","tense_description","climate_date_range","climate_date_min","climate_date_max","climate_data_source","citation_type","description_access_to_source","source_sufficient"
"246",246,1995,"GCB","ZHOU","10.1111/j.1365-2486.1995.tb00029.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.1995.tb00029.x/abstract",4.167,"weather effects","regional","implicit past",TRUE,"1965","1995","station data","","",""
"249",249,1995,"GCB","WILKS","10.1111/j.1365-2486.1995.tb00032.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.1995.tb00032.x/abstract",4.167,"climate change effects","continental","implicit past",TRUE,"1952","1974","station data","","",""
"252",252,1995,"GCB","JONGEN","10.1111/j.1365-2486.1995.tb00034.x","http://onlinelibrary.wiley.com/store/10.1111/j.1365-2486.1995.tb00034.x/asset/j.1365-2486.1995.tb00034.x.pdf?v=1&t=i4nd2xmw&s=4ffdaae6aff7a6087bda9620e6ed102891ce33f1",4.167,"general ecology","site","implicit past",TRUE,"1993","1993","station data","","",""
"253",253,1995,"GCB","KIMBALL","10.1111/j.1365-2486.1995.tb00041.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.1995.tb00041.x/abstract",4.167,"general ecology","site","past",TRUE,"1993","1993","site data","","",""
"254",254,1995,"GCB","GRANT","10.1111/j.1365-2486.1995.tb00042.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.1995.tb00042.x/abstract",4.167,"weather effects","site","past",TRUE,"1993","1993","site data","","",""
"255",568,2010,"American_Naturalist","Siewert","10.1086/656271","http://www.jstor.org/stable/10.1086/656271",8.502,"weather effects","regional","present",TRUE,"1978","2008","multiple sources","multiple","no","unclear"
"257",257,1998,"Diversity_and_Distributions","Iverson","10.1046/j.1472-4642.1998.00007.x","http://www.jstor.org/stable/2999798",5.813,"weather effects","regional","implicit past",TRUE,"1941","1970","station data","","",""
"259",259,1998,"Diversity_and_Distributions","Yom-Tov","10.1046/j.1472-4642.1998.00012.x","http://www.jstor.org/stable/2999799",5.813,"general ecology","regional","present",FALSE,NA,NA,"not_specified","","",""
"260",260,1998,"Diversity_and_Distributions","Milton","10.1046/j.1472-4642.1998.00024.x","http://www.jstor.org/stable/2999790",5.813,"general ecology","regional","implicit past",FALSE,NA,NA,"not_specified","","",""
"261",261,1999,"Ecology_Letters","Oberdorff","10.1046/j.1461-0248.1999.t01-2-22051.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1461-0248.1999.t01-2-22051.x/abstract",4.391,"general ecology","global","implicit present",FALSE,NA,NA,"not_specified","","",""
"263",570,2010,"Ecology","Bridgeland","10.2307/25661025","http://www.jstor.org/stable/25661025",5.813,"general ecology","site","past",FALSE,NA,NA,"station data","multiple","yes","yes"
"265",265,1999,"Diversity_and_Distributions","Lavorel","10.1046/j.1472-4642.1999.00034.x","http://www.jstor.org/stable/2673312",5.813,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"271",271,1999,"Diversity_and_Distributions","Honnay","10.1046/j.1472-4642.1999.00047.x","http://www.jstor.org/stable/2673405",5.813,"general ecology","site","inconsistent",FALSE,NA,NA,"station data","","",""
"272",272,1999,"Diversity_and_Distributions","Vlok","10.1046/j.1472-4642.1999.00055.x","http://www.jstor.org/stable/2673300",5.813,"general ecology","site","inconsistent",FALSE,NA,NA,"station data","","",""
"274",274,1999,"Diversity_and_Distributions","Kondo","10.1046/j.1472-4642.1999.00056.x","http://www.jstor.org/stable/2673301",5.813,"general ecology","site","present",FALSE,NA,NA,"station data","","",""
"277",277,1999,"Diversity_and_Distributions","Gottfried","10.1046/j.1472-4642.1999.00058.x","http://www.jstor.org/stable/2673338",5.813,"climate change effects","site","past",TRUE,"Aug-97","Aug-98","site data","","",""
"278",278,2000,"Journal_of_Ecology","Donovan","10.1046/j.1365-2745.2000.00411.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2745.2000.00411.x/full",4.167,"general ecology","site","past",FALSE,NA,NA,"station data","","",""
"279",279,2000,"Journal_of_Ecology","Austin","10.1046/j.1365-2745.2000.00437.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2745.2000.00437.x/full",4.167,"general ecology","regional","present",FALSE,NA,NA,"atlas","","",""
"280",280,2000,"Journal_of_Ecology","Sherman","10.1046/j.1365-2745.2000.00439.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2745.2000.00439.x/full",4.167,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"281",281,2000,"Journal_of_Ecology","Cabin","10.1046/j.1365-2745.2000.00443.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2745.2000.00443.x/full",4.167,"weather effects","site","past",TRUE,"1993","1993","not_specified","","",""
"282",282,2000,"Journal_of_Ecology","Rousset","10.1046/j.1365-2745.2000.00457.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2745.2000.00457.x/full",4.167,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"283",283,2000,"PNAS","Inouye","10.1073/pnas.97.4.1630","http://www.pnas.org/content/97/4/1630.full",4.391,"climate change effects","site","past",TRUE,"1975","1999","multiple sources","","",""
"284",284,2000,"PNAS","Nakano","10.1073/pnas.98.1.166","http://www.pnas.org/content/98/1/166.full",4.391,"general ecology","site","past",TRUE,"1997","1998","site data","","",""
"285",285,2000,"Nature","Barber","10.1038/35015049","www.nature.com/nature/journal/v405/n6787/full/405668a0.html",4.391,"climate change effects","regional","implicit past",TRUE,"1906","1998","station data","","",""
"291",291,2000,"Nature","Oechel","10.1038/35023137","www.nature.com/nature/journal/v406/n6799/full/406978a0.html",4.391,"climate change effects","regional","past",TRUE,"1960","1998","regional","","",""
"296",296,2000,"Nature","Smith","10.1038/35040544","http://www.nature.com/nature/journal/v408/n6808/full/408079a0.html",4.391,"weather effects","site","implicit present",TRUE,"1998","1998","not_specified","","",""
"297",307,2000,"Nature","Karels","10.1038/35044064","http://www.nature.com/nature/journal/v408/n6811/full/408460a0.html",4.391,"general ecology","site","implicit present",FALSE,NA,NA,"station data","","",""
"302",312,2000,"Nature","Kiesecker","10.1038/35070500","http://www.nature.com/nature/journal/v410/n6829/full/410681a0.html",4.391,"weather effects","regional","implicit past",TRUE,"1990","1999","multiple sources","","",""
"309",319,2000,"Ecology_Letters","Lord","10.1046/j.1461-0248.2000.00150.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1461-0248.2000.00150.x/pdf",4.809,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"316",326,2000,"Ecology_Letters","Curtin","10.1046/j.1461-0248.2000.00166.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1461-0248.2000.00166.x/pdf",4.809,"weather effects","regional","implicit past",TRUE,"1867","1992","station data","","",""
"318",328,2000,"Ecology_Letters","Prieur-Richard","10.1046/j.1461-0248.2000.00157.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1461-0248.2000.00157.x/pdf",4.809,"general ecology","site","past",FALSE,NA,NA,"not_specified","","",""
"319",329,2000,"Ecology_Letters","Rillig","10.1111/j.1461-0248.2000.00178.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1461-0248.2000.00178.x/pdf",4.809,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"321",331,2000,"Ecology","Connell","","http://dx.doi.org/10.1890/0012-9658(2000)081[0568:SDOTTY]2.0.CO;2",4.809,"climate change effects","site","inconsistent",TRUE,"1968","1998","station data","","",""
"322",332,2000,"Ecology","Herwitz","","http://dx.doi.org/10.1890/0012-9658(2000)081[0585:LTSACA]2.0.CO;2",4.809,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"324",334,2000,"Ecology","McLachlan","","http://dx.doi.org/10.1890/0012-9658(2000)081[0717:ATTLSS]2.0.CO;2",4.809,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"327",337,2000,"Ecology","Cater","","http://dx.doi.org/10.1890/0012-9658(2000)081[1086:DEOCOM]2.0.CO;2",4.809,"general ecology","site","past",TRUE,"1988","1997","multiple sources","","",""
"334",344,2000,"Ecology","Garten","","http://dx.doi.org/10.1890/0012-9658(2000)081[1108:CCOFSC]2.0.CO;2",4.809,"general ecology","site","inconsistent",FALSE,NA,NA,"multiple sources","","",""
"346",356,2000,"Ecology","Hansen","","http://dx.doi.org/10.1890/0012-9658(2000)081[1120:EOHCAC]2.0.CO;2",4.809,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"347",357,2000,"Ecology","Grosholz","","http://dx.doi.org/10.1890/0012-9658(2000)081[1120:EOHCAC]2.0.CO;2",4.809,"weather effects","site","past",TRUE,"1968","1996","station data","","",""
"348",358,2000,"Ecology","Bradshaw","","http://dx.doi.org/10.1890/0012-9658(2000)081[1262:ATTTCO]2.0.CO;2",4.809,"weather effects","regional","implicit present",FALSE,NA,NA,"multiple sources","","",""
"350",360,2000,"Ecology","Gebauer","","http://dx.doi.org/10.1890/0012-9658(2000)081[1415:WANUPF]2.0.CO;2",4.809,"weather effects","site","present",FALSE,NA,NA,"not_specified","","",""
"356",366,2000,"Ecology","Egerton","","http://dx.doi.org/10.1890/0012-9658(2000)081[1437:FOSERI]2.0.CO;2",4.809,"general ecology","site","present",FALSE,NA,NA,"regional","","",""
"367",377,2000,"Ecology","Niklasson","","http://dx.doi.org/10.1890/0012-9658(2000)081[1484:NASOFL]2.0.CO;2",4.809,"general ecology","regional","present",FALSE,NA,NA,"not_specified","","",""
"371",381,2000,"Ecology","Bergeron","","http://dx.doi.org/10.1890/0012-9658(2000)081[1500:SASDIT]2.0.CO;2",4.809,"general ecology","site","present",TRUE,"1961","1990","station data","","",""
"372",382,2000,"Diversity_and_Distributions","Harrison","10.1046/j.1472-4642.2000.00082.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1472-4642.2000.00082.x/abstract",8.502,"general ecology","regional","implicit present",TRUE,"1961","1990","name_of_GCM","","",""
"373",383,2000,"Diversity_and_Distributions","Lambrinos","10.1046/j.1472-4642.2000.00086.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1472-4642.2000.00086.x/abstract",8.502,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"375",385,2000,"Diversity_and_Distributions","Vlok","10.1046/j.1472-4642.2000.00087.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1472-4642.2000.00087.x/abstract",8.502,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"376",386,2000,"GCB","Camill","10.1046/j.1365-2486.2000.00293.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00293.x/abstract",5.813,"climate change effects","regional","present",TRUE,"1951","1980","station data","","",""
"377",387,2000,"GCB","Grant","10.1046/j.1365-2486.2000.00288.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00288.x/abstract",5.813,"climate change effects","site","past",TRUE,"1994","1996","station data","","",""
"380",390,2000,"GCB","White","10.1046/j.1365-2486.2000.00302.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00302.x/abstract",5.813,"climate change effects","continental","past",TRUE,"1860","2100","name_of_GCM","","",""
"382",392,2000,"GCB","Rodó","10.1046/j.1365-2486.2000.00299.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00299.x/abstract",5.813,"climate change effects","regional","inconsistent",TRUE,"1964","1994","station data","","",""
"384",394,2000,"GCB","Pendall","10.1046/j.1365-2486.2000.00304.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00304.x/abstract",5.813,"weather effects","regional","present",TRUE,"1903","1996","multiple sources","","",""
"385",395,2000,"GCB","Starr","10.1046/j.1365-2486.2000.00316.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00316.x/full",5.813,"weather effects","site","past",TRUE,"1995","1996","station data","","",""
"398",408,2000,"GCB","Roy","10.1046/j.1365-2486.2000.00322.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00322.x/abstract",5.813,"climate change effects","regional","past",TRUE,"1659","1998","regional","","",""
"399",409,2000,"GCB","Osborne","10.1046/j.1365-2486.2000.00336.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00336.x/full",5.813,"climate change effects","regional","past",TRUE,"1901","1995","multiple sources","","",""
"403",413,2000,"GCB","Griffis","10.1046/j.1365-2486.2000.00330.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00330.x/full",5.813,"general ecology","site","implicit present",FALSE,NA,NA,"not_specified","","",""
"405",415,2000,"GCB","Kleidon","10.1046/j.1365-2486.2000.00332.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00332.x/full",5.813,"general ecology","global","implicit present",FALSE,NA,NA,"name_of_GCM","","",""
"406",416,2000,"GCB","Rupp","10.1046/j.1365-2486.2000.00337.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00337.x/full",5.813,"climate change effects","regional","present",FALSE,NA,NA,"not_specified","","",""
"409",419,2000,"GCB","Tuittila","10.1046/j.1365-2486.2000.00341.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00341.x/full",5.813,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"412",422,2000,"American_Naturalist","Clauss","10.1086/303314","http://www.jstor.org/stable/10.1086/303314",5.813,"weather effects","site","present",TRUE,"1996","1997","site data","","",""
"416",426,2000,"American_Naturalist","Kaspari","10.1086/303313","http://www.jstor.org/stable/10.1086/303313",5.813,"general ecology","continental","implicit present",FALSE,NA,NA,"multiple sources","","",""
"431",441,2001,"PNAS","Nevo","10.1073/pnas.101109298","http://www.pnas.org/content/98/11/6233.full",4.391,"general ecology","regional","implicit past",FALSE,NA,NA,"multiple sources","","",""
"432",442,2001,"PNAS","Romero","10.1073/pnas.131091498","http://www.pnas.org/content/98/13/7366.full",4.391,"weather effects","site","present",FALSE,NA,NA,"not_specified","","",""
"447",457,2001,"Nature","Mysterud","10.1038/35074099","http://www.nature.com/nature/journal/v410/n6832/full/4101096a0.html",4.391,"climate change effects","regional","implicit past",TRUE,"1964","1998","station data","","",""
"448",458,2001,"Nature","Högberg","10.1038/35081058","http://www.nature.com/nature/journal/v411/n6839/full/411789a0.html",4.391,"general ecology","site","past",TRUE,"6/1/2000","8/1/2000","station data","","",""
"449",459,2001,"Ecology_Letters","Lyons","10.1046/j.1461-0248.2001.00235.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1461-0248.2001.00235.x/pdf",4.809,"general ecology","site","present",FALSE,NA,NA,"station data","","",""
"454",464,2001,"Ecology_Letters","Joshi","10.1046/j.1461-0248.2001.00262.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1461-0248.2001.00262.x/pdf",4.809,"general ecology","continental","past",FALSE,NA,NA,"not_specified","","",""
"457",467,2001,"Diversity_and_Distributions","Katz","10.1046/j.1472-4642.2001.00093.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1472-4642.2001.00093.x/abstract",8.502,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"458",468,2001,"Diversity_and_Distributions","Kessler","10.1046/j.1472-4642.2001.00097.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1472-4642.2001.00097.x/abstract",8.502,"general ecology","site","implicit present",FALSE,NA,NA,"multiple sources","","",""
"461",471,2002,"Diversity_and_Distributions","Farji-Brener","10.1046/j.1472-4642.2002.00133.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1472-4642.2002.00133.x/abstract",8.502,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
